,Text,User,Date,Favs,Retweets,Replies
24,"हर देश में अलग-अलग विचारधाराएं होती हैं, लेकिन आज हमारे देश के लोग स्पष्ट तौर पर दो विचारधाराओं को देख रहे हैं। एक विचारधारा विलंब की है, तो दूसरी विकास की और हमारा कमिटमेंट सिर्फ और सिर्फ विकास के लिए है। https://t.co/9hXH2ycgbA",narendramodi,2021-12-27 13:02:58+00:00,12790,3288,628
25,"सरकार चलाने का हमारा मॉडल है- सबका साथ-सबका विकास, सबका विश्वास और सबका प्रयास। इसी का परिणाम है कि हिमाचल ने अपनी पूरी वयस्क जनसंख्या को वैक्सीन देने में बाकी सबसे बाजी मार ली। https://t.co/XkZgsAQzg8",narendramodi,2021-12-27 13:02:21+00:00,10465,2893,366
26,देवभूमि हिमाचल में टूरिज्म के साथ ही औद्योगिक विकास की अपार संभावनाएं हैं। हमारी सरकार इस दिशा में भी लगातार काम कर रही है। https://t.co/5kuCyTy2V1,narendramodi,2021-12-27 13:02:08+00:00,8545,2349,191
27,हिमाचल आने वाले सभी पर्यटकों से मेरा एक आग्रह है… https://t.co/9togx0RXC2,narendramodi,2021-12-27 13:01:21+00:00,13606,3230,323
28,"पूरा विश्व इस बात की प्रशंसा कर रहा है कि हमारा देश किस तरह पर्यावरण को बचाते हुए विकास को गति दे रहा है।
 
हाइड्रो पावर प्रोजेक्ट्स का आज हुआ शिलान्यास और लोकार्पण भी Climate Friendly New India की तरफ देश का एक मजबूत कदम है। https://t.co/5LUFSoOiQr",narendramodi,2021-12-27 13:01:10+00:00,8296,2409,253
29,"Addressing a public meeting in Mandi, where key works are being inaugurated. https://t.co/ndUbzj8zi2",narendramodi,2021-12-27 08:10:20+00:00,17133,4359,633
30,Saddened by the passing away of Rajya Sabha MP Dr. Mahendra Prasad Ji. He served in Parliament for many years and was at the forefront of several community service efforts. He always spoke for the welfare of Bihar and its people. Condolences to his family. Om Shanti.,narendramodi,2021-12-27 05:06:07+00:00,23255,3692,687
31,"देवभूमि हिमाचल की विकास यात्रा को कल एक नई गति मिलेगी। मंडी में मुझे न केवल हिमाचल प्रदेश ग्लोबल इन्वेस्टर्स मीट में शामिल होने का अवसर मिलेगा, बल्कि 11,000 करोड़ रुपये से अधिक की पनबिजली परियोजनाओं के उद्घाटन और शिलान्यास का भी सौभाग्य प्राप्त होगा।
https://t.co/HzUKMBOcwu",narendramodi,2021-12-26 16:31:24+00:00,18579,3947,547
32,बिहार के मुजफ्फरपुर की एक फैक्ट्री में हुआ हादसा अत्यंत दुखद है। मैं मृतकों के परिजनों के प्रति अपनी गहरी संवेदनाएं व्यक्त करता हूं। साथ ही घायलों के शीघ्र स्वस्थ होने की कामना करता हूं।,narendramodi,2021-12-26 13:27:06+00:00,37641,5556,808
33,"हमें कितना कुछ सीखना है, नए-नए Innovations करने हैं, नए-नए लक्ष्य हासिल करने हैं, इसी संकल्प के साथ आने वाले साल में देश आगे बढ़ेगा और 2022 एक नए भारत के निर्माण का स्वर्णिम पृष्ठ बनेगा।
#MannKiBaat https://t.co/4hdZ4jBwJy",narendramodi,2021-12-26 13:25:58+00:00,8201,2421,278
