,Text,User,Date,Favs,Retweets,Replies
30,"We are going to reinvest in our country and our people to continue building a better America with union jobs.
https://t.co/qbfXOe7GeN",JoeBiden,2021-12-10 19:55:01+00:00,6640,1067,1208
31,"Long gone are the days when we hear about infrastructure week with no follow through. From now on, we’re in the infrastructure decade.",JoeBiden,2021-12-10 01:00:03+00:00,25505,3649,1879
32,"17 Nobel Prize winners in economics say the Build Back Better Act will help ease long-term inflationary pressures and make our economy stronger. 

Not a single Republican in Congress supports it.",JoeBiden,2021-12-09 21:28:00+00:00,27836,5987,3622
33,"Americans that require insulin should not have to suffer and sacrifice just to get a drug that costs a few dollars to make. 

The Build Back Better Act will cap insulin at $35 a month.
https://t.co/Ox0att5OYa",JoeBiden,2021-12-09 00:06:03+00:00,9401,1570,1298
34,"Last year, more than half of the schools in America were closed. This year, 99% of schools are back open, and 20 million children ages 5 and older have already received their vaccine. Let’s keep it going.",JoeBiden,2021-12-08 22:37:00+00:00,24621,3406,1705
35,"The Bipartisan Infrastructure Law builds back our bridges, water systems, power lines, electric grid better and stronger, making them more resilient to the effects of climate change. No American should have to deal with flooding or losing power for days and weeks after a storm.",JoeBiden,2021-12-08 17:06:03+00:00,11215,1885,1231
36,"Since I was sworn in on January 20, our economy has created nearly 6 million new jobs—a record for a new president.
https://t.co/Q0C99vrJYI",JoeBiden,2021-12-07 21:35:01+00:00,27477,5524,7583
37,"Thanks to the American Rescue Plan, we’ve cut child poverty in America by more than 40%. 

Many children who spent last Christmas in poverty will not this holiday season.",JoeBiden,2021-12-07 19:51:01+00:00,20226,2983,1688
38,"My Build Back Better bill takes three major steps to lower the cost for families dealing with diabetes:
1️⃣ Cap cost sharing for insulin at $35
2️⃣ Get health insurance for folks with diabetes who don’t already have it
3️⃣ Keep drug companies accountable when they raise prices",JoeBiden,2021-12-07 16:45:03+00:00,9201,1684,1079
39,"America continues to add jobs at a record pace and nearly 6 million new jobs have been created since I was sworn in on January 20. Our economy is moving in the right direction, but we have more to do.",JoeBiden,2021-12-07 02:08:00+00:00,17566,2705,1908
40,"Today, one in four Americans struggle to afford their prescription drugs, resulting in nearly 30% of patients either skipping doses or even cutting pills in half just to afford the costs. 

My Build Back Better Bill will change that.",JoeBiden,2021-12-07 00:16:01+00:00,12041,1948,1303
41,"Any country that out educates us will outcompete us. 

That’s why my Build Back Better Act will provide universal pre-K to every 3- and 4-year old in America and increase the maximum Pell Grant. This is how we invest in American families.",JoeBiden,2021-12-06 21:40:00+00:00,14378,2297,1392
42,"I’m proud to say that the typical American family has more money in their pockets than they did last year, or the year before that, thanks to the American Rescue Plan.",JoeBiden,2021-12-06 16:36:01+00:00,30132,3852,6660
43,Time for action. https://t.co/7n23MWapzT,JoeBiden,2021-12-06 00:24:10+00:00,9954,1520,1727
44,"The Bipartisan Infrastructure Law invests $42 billion to modernize our ports and our airports, making it easier for companies to get goods to market, reducing supply chain bottlenecks, lowering costs for families, and making sure that what you need gets to your home on time.",JoeBiden,2021-12-05 22:16:00+00:00,14914,2371,1154
45,"Our infrastructure used to be rated the best in the world—that’s not hyperbole. But now we rank 13th in the world for the quality of our infrastructure.
 
With our infrastructure law, we're turning things around in a big way. And that starts with our roads and bridges.",JoeBiden,2021-12-04 22:35:00+00:00,15663,2403,1477
46,"What does passing the Build Back Better Act mean?

For millions of American families, it means the bills you're paying right now for daycare could be capped at 7% of your income.

It means the cost of your prescription drugs and care for your elder parents will be cheaper.",JoeBiden,2021-12-04 18:27:00+00:00,9238,1511,1281
47,"America has always been a nation of possibilities. Instead of continuing tax cuts for big corporations and the wealthiest Americans, let’s ensure they pay their fair share and lower the cost of child care and prescription drugs by passing the Build Back Better Act in the Senate.",JoeBiden,2021-12-04 16:32:00+00:00,14914,2443,1262
48,There is no worse feeling than not being able to afford the life-saving medication a loved one may need. The Build Back Better Act will cap the cost of insulin at $35/month so families can breathe a little easier.,JoeBiden,2021-12-04 01:48:00+00:00,34669,4750,2352
49,"We can’t just build back to where we were before. 

When roads are continuously wiped out by flooding, we must build them higher. 
When high power lines come down from severe weather, they must be made more resilient. 

This is what I mean when I say we need to build back better.",JoeBiden,2021-12-03 21:03:00+00:00,11623,1780,1245
50,Imagine running up higher costs for American families just to score a few political points. But that’s what Republicans are doing. https://t.co/vIc8COfsPL,JoeBiden,2021-12-03 19:20:10+00:00,7481,1486,2379
51,"Caring for our veterans and their families when they return home is a lifelong commitment our nation owes to those who served our country—and this week three bills became law that help us live up to that sacred obligation. 
https://t.co/kEjsK21Ar9",JoeBiden,2021-12-03 01:23:01+00:00,8673,1371,905
52,I know that this country can deliver for working families. We have before—and we will again.,JoeBiden,2021-12-02 20:58:01+00:00,20263,2429,1926
53,"Trickle-down economics has never worked. That’s why our infrastructure law is a blue-collar blueprint to rebuild America. The only way this works is if blue-collar Americans do the rebuilding.

That's the only way it's ever worked and we're going to do it again. Mark my words.",JoeBiden,2021-12-02 17:59:01+00:00,15628,2723,1552
54,"Republicans would rather the bills at your kitchen table be higher so the taxes in big mansions can be lower. 

Let me tell you something: Nothing will be more expensive for American families than a NO vote on the Build Back Better plan.",JoeBiden,2021-12-02 14:45:02+00:00,21908,3997,2732
55,"In ten months, we've gone from an economy that was shut down due to the pandemic, to an economy that is leading the world in economic growth. Between record new small business creation to record new job creation, we’re rebuilding an economy where everyone comes along.",JoeBiden,2021-12-01 23:27:00+00:00,25276,4162,3076
56,"No parent should have to sit outside a fast food restaurant to use the internet so that their child can do their homework.

Our infrastructure law will expand access to affordable, high-speed internet, helping every household access what they need to work, learn, and live.",JoeBiden,2021-12-01 21:35:00+00:00,24599,3131,1667
57,"There’s still time to get your first shot, your booster shot, or to get your children vaccinated before Christmas. Get vaccinated.",JoeBiden,2021-11-30 22:47:00+00:00,40086,4817,3056
58,"We're going to fight the Omicron variant the way we’ve been fighting COVID-19 since the beginning—with scientific and knowledgeable actions and speed, not chaos and confusion.",JoeBiden,2021-11-30 20:16:01+00:00,35179,3940,3945
59,The Bipartisan Infrastructure Law will ensure no parent will have to sit in a fast food parking lot just so their child can access the internet to do their homework.,JoeBiden,2021-11-30 18:15:06+00:00,13067,1830,1109
60,"My simple message to folks worried about the Omicron variant: Get vaccinated.
https://t.co/O61tmKGEW6",JoeBiden,2021-11-30 01:12:00+00:00,16826,2667,2387
61,"Since I was sworn in on January 20th, we’ve seen a record 5.6 million in job growth— with more jobs created at this point than ever before in American history. We’ve made enormous progress and we're on our way to building an economy that ensures no one is left behind. https://t.co/Lmbc7kbrrU",JoeBiden,2021-11-29 21:49:12+00:00,14804,3199,2648
62,"The Build Back Better Act extends the expanded Child Tax Credit, which has been a game changer for working families. It helped roughly 60 million children and helped cut child poverty in America by more than 40%.",JoeBiden,2021-11-29 20:30:02+00:00,14210,2194,1050
63,Jill and I send our warmest wishes to everyone celebrating Hanukkah in the United States and around the world. May this festival of lights bring blessings upon you and your loved ones for happiness and health. Happy Hanukkah!,JoeBiden,2021-11-28 17:15:01+00:00,33648,3209,1740
64,"Small businesses employ millions of Americans and strengthen communities across the country. This Small Business Saturday, I encourage you to support the folks in your local community by shopping small.",JoeBiden,2021-11-27 16:52:00+00:00,19736,2592,1969
65,"Thanksgiving is a special time to reflect on what the year has brought, what lies ahead, and a time to be grateful that from darkness there is light, hope, and progress. 

From my family to yours, happy Thanksgiving.",JoeBiden,2021-11-25 20:37:01+00:00,41389,4174,3106
66,"We've made progress over the last ten months: unemployment is down to 4.6%, wages are rising, disposable income is up, and millions of Americans will be reuniting with their loved ones for Thanksgiving. We're grateful that families can gather safely thanks to the vaccine.",JoeBiden,2021-11-24 21:27:01+00:00,27184,3980,2869
67,"We’ve launched a major effort to reduce the price of gas at your corner gas station.
https://t.co/pm9ACpnCwX",JoeBiden,2021-11-24 18:30:07+00:00,8635,1247,2797
68,"Our Bipartisan Infrastructure Law will deliver access to clean water and affordable high-speed internet to millions of families across the country. 

We’re going to create good-paying jobs while rebuilding our infrastructure and investing in our future.",JoeBiden,2021-11-23 23:13:01+00:00,10812,1829,1153
69,"The Bipartisan Infrastructure Law rewards companies for paying workers a decent wage, for buying American, and for sourcing their products right here in America—not abroad.",JoeBiden,2021-11-23 20:14:02+00:00,15118,2295,1216
70,"Nearly 2 million women in our country have been locked out of the workforce because they have to care for a child or an elderly relative at home.

My Build Back Better Act will make caregiving accessible and affordable and help them get back to work.",JoeBiden,2021-11-23 01:50:00+00:00,30609,4361,4228
71,"No one should have to pay $1,000 a month for insulin. That’s why my Build Back Better Act will lower costs for prescription drugs and ensure that no one pays more than $35 a month for their insulin. https://t.co/buhJTYop7S",JoeBiden,2021-11-22 22:05:11+00:00,18317,2960,1996
72,The Bipartisan Infrastructure Law will ensure no parent will have to sit in a fast food parking lot just so their child can access the internet to do their homework.,JoeBiden,2021-11-22 18:00:22+00:00,21529,3192,1536
73,"Not one, not two, not sixteen—seventeen Nobel Prize-winning economists agree that my Build Back Better Act will ease longer-term inflationary pressures and grow our economy. https://t.co/X6mpntckXb",JoeBiden,2021-11-21 23:37:05+00:00,14883,3108,2168
74,"The Bipartisan Infrastructure Law builds back our bridges, water systems, power lines, and electric grid better and stronger. 

Because of it, fewer Americans will be flooded out of their homes or lose power for days and weeks at a time when a storm hits.",JoeBiden,2021-11-21 16:50:01+00:00,14666,2213,1351
75,"Infrastructure Week has long been talked about in Washington.

Folks, it’s finally here. 
https://t.co/BKhjPsFjmf",JoeBiden,2021-11-21 14:48:03+00:00,11630,1654,1098
76,"Studies have shown that children who go to pre-K are more likely to stay in school. 

The Build Back Better Act establishes universal pre-K, ensuring every 3- and 4-year-old in America has access to high-quality early education, no matter their background.",JoeBiden,2021-11-20 21:04:00+00:00,27373,3880,1942
77,"My Bipartisan Infrastructure Law is a once-in-a-generation investment that will create good-paying jobs modernizing our infrastructure.
https://t.co/mYq7Bm0q4f",JoeBiden,2021-11-20 18:42:00+00:00,7863,1388,894
78,"For too long, the economy has worked great for those at the top, while working families get squeezed. The Build Back Better Act will build an economy that works for everyone.

With its passage in the House, we’re one step closer to getting this done.",JoeBiden,2021-11-20 16:35:00+00:00,19640,2860,1995
79,"The Build Back Better Act will lower costs, create jobs, and cut taxes, while tackling the climate crisis and growing the economy from the bottom up and middle out.

With its passage in the House, we’re one step closer to making a historic investment rebuilding the middle class.",JoeBiden,2021-11-19 22:16:52+00:00,18620,2934,2409
80,"The Bipartisan Infrastructure Law is proof that despite the cynics, Democrats and Republicans can come together and deliver real results.",JoeBiden,2021-11-19 01:00:06+00:00,18683,2296,2111
81,"Two of the leading rating agencies on Wall Street said yesterday that the Build Back Better Act will not add inflationary pressures on the economy. 

Instead, it will create jobs and will help take the edge off inflation.",JoeBiden,2021-11-18 19:31:01+00:00,18360,3886,1847
82,"Our economy is in the midst of a historic recovery as we build a path out of the pandemic. But far too many Americans are being left out. 

The Bipartisan Infrastructure Law and Build Back Better Act will help lower costs and build an economy that works for everyone.",JoeBiden,2021-11-18 17:43:00+00:00,9533,1542,1257
83,It was good to be back in Detroit. https://t.co/DXKpvHRteJ,JoeBiden,2021-11-18 14:46:09+00:00,10010,1230,1131
84,"Together, the Bipartisan Infrastructure Law and Build Back Better Act will create millions of jobs, lower costs for working families, and meet the moment on climate change. 

These are transformative investments in the American people and our future.",JoeBiden,2021-11-18 00:29:01+00:00,9763,1617,1204
85,Tribal lands have been chronically underfunded for generations. I’m proud to say that the Bipartisan Infrastructure Law will be the single largest investment in Tribal infrastructure ever—and we won’t stop there.,JoeBiden,2021-11-17 21:29:00+00:00,19091,2827,965
86,"Because of the Bipartisan Infrastructure Law, next year will be the first year in 20 years that American infrastructure investments will grow faster than China. 

Historians will look back at this time as the moment America began to win the competition of the 21st century.",JoeBiden,2021-11-17 14:49:01+00:00,15823,2514,1650
87,"Throughout our history, we've emerged from crises by investing in ourselves.

And as we emerge from the COVID-19 pandemic, we'll rebuild the economy from the bottom up and middle out. That’s what the Bipartisan Infrastructure Law and the Build Back Better Act will do.",JoeBiden,2021-11-16 23:54:01+00:00,14350,2200,1648
88,"The Bipartisan Infrastructure Law makes the most significant investment in public transit in the history of our nation. 
 
You’re going to go places faster, safer, and with a lot less pollution in the air.",JoeBiden,2021-11-16 21:29:00+00:00,12643,2028,979
89,I announced five new initiatives that will help protect the dignity and sovereignty of Tribal Nations. https://t.co/72ga28TpqZ,JoeBiden,2021-11-16 17:35:18+00:00,9138,1627,962
90,"The Bipartisan Infrastructure Deal will modernize our ports, our airports, and our freight rail to make it easier for companies to get goods to market. It will reduce the supply chain bottlenecks we’re currently experiencing and lower costs for you and your family.",JoeBiden,2021-11-16 14:40:00+00:00,19293,2891,1391
91,"The Bipartisan Infrastructure Deal makes the most significant investment in roads and bridges in the past 70 years, the most significant investment in passenger rail in the past 50 years, and the most significant investment in public transit in our nation's history. It’s a BFD.",JoeBiden,2021-11-16 03:15:00+00:00,17940,3022,1286
92,My message to the American people is this: America is moving again. And your life is going to change for the better thanks to the Bipartisan Infrastructure Deal.,JoeBiden,2021-11-16 02:07:00+00:00,38728,4802,3196
93,"From the moment I entered the White House, I promised that I would be a president for all Americans and make sure our democracy delivers for all of you. Signing the Bipartisan Infrastructure Deal is a monumental step forward toward building back better as a nation. https://t.co/fe0K5g5v3k",JoeBiden,2021-11-16 01:16:00+00:00,8014,1332,1237
94,"The Bipartisan Infrastructure Deal makes historic investments in our infrastructure to rebuild our roads and bridges, deliver clean water and high-speed internet, modernize our electrical grid, and help transition to a clean energy economy. 

It is now law.",JoeBiden,2021-11-15 23:40:00+00:00,14288,2274,967
95,"I just signed the Bipartisan Infrastructure Deal into law alongside members of Congress from both parties. 

This is a historic investment in our future that will create good-paying jobs and rebuild our nation's infrastructure. It's an enormous win for the American people.",JoeBiden,2021-11-15 21:32:27+00:00,26184,3669,1608
96,"Seventeen Nobel Prize winning economists said that Build Back Better will ease longer-term inflationary pressures and lower costs for American families.

We can get this done.",JoeBiden,2021-11-15 16:40:01+00:00,27638,4671,2468
97,"American families across the country are facing rising costs on everything from gas to groceries. 

The Build Back Better Act will lower costs for health care, child care, and elder care—and cut taxes for the middle class. Let’s pass it.",JoeBiden,2021-11-15 14:40:00+00:00,16217,2654,2091
98,"Congress can help ease inflationary pressures and lower costs for working families. 

Let’s pass the Build Back Better Act.",JoeBiden,2021-11-15 00:00:04+00:00,26937,4044,3559
