,Text,User,Date,Favs,Retweets,Replies
27,"Estuvimos en Guerrero Negro en la exportadora de sal, empresa pública a la que estamos limpiando de corrupción para hacerla más rentable en beneficio de los trabajadores y del municipio de Mulegé en Baja California Sur. https://t.co/vHx4AA1Pma",lopezobrador_,2021-12-12 03:02:30+00:00,11587,3273,959
28,"Conferencia de prensa matutina, desde Tijuana, Baja California https://t.co/ZQI4y6RHo3",lopezobrador_,2021-12-11 17:07:15+00:00,4552,1322,367
29,"Acuerdo para regularizar vehículos usados de procedencia extranjera, desde Chihuahua https://t.co/7nIIvI2kqG",lopezobrador_,2021-12-11 00:14:47+00:00,4417,1353,434
30,"Comiendo los inigualables burritos de Villa Ahumada, Chihuahua. https://t.co/vCc2OnTDWB",lopezobrador_,2021-12-10 23:04:31+00:00,12121,2944,2238
31,"Instalación de Comisión para el acceso a la verdad y el impulso a la justicia, desde Chihuahua https://t.co/I7Dup49teg",lopezobrador_,2021-12-10 17:56:55+00:00,4840,1554,373
32,"Conferencia de prensa matutina, desde Chihuahua https://t.co/1EKYHTYsyK",lopezobrador_,2021-12-10 13:58:12+00:00,4026,1272,326
33,"Conferencia de prensa matutina, desde Chihuahua

8:00 am hora centro
7:00 am hora local https://t.co/eQoQj6ydeR",lopezobrador_,2021-12-10 13:00:02+00:00,3769,1005,298
34,Lamento profundamente la tragedia ocasionada por la volcadura de un tráiler en Chiapas que transportaba migrantes centroamericanos. Es muy doloroso. Abrazo a los familiares de las víctimas.,lopezobrador_,2021-12-10 00:59:08+00:00,19099,4102,2442
35,"La política es transformar y hacer historia. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/4cxnYP6fSz",lopezobrador_,2021-12-09 13:07:47+00:00,5894,1826,898
36,"Conferencia de prensa matutina, desde Tepic, Nayarit https://t.co/y1nV9vFJE2",lopezobrador_,2021-12-08 14:12:55+00:00,3920,1183,460
37,"Conferencia de prensa matutina, desde Tepic, Nayarit

8:00 am hora centro
7:00 am hora local https://t.co/Xz3iyGuxBx",lopezobrador_,2021-12-08 13:00:01+00:00,4705,1230,561
38,Plan de apoyo a Nayarit https://t.co/aCSyZO8zO4,lopezobrador_,2021-12-07 18:46:07+00:00,6079,1866,570
39,"Conferencia de prensa matutina, desde Zapopan, Jalisco https://t.co/SmCroFRrGV",lopezobrador_,2021-12-07 12:58:17+00:00,6264,1968,555
40,Gobernamos con honradez y ponemos toda nuestra atención en el bienestar de la gente. Conferencia matutina https://t.co/3vVZ6PWwUK,lopezobrador_,2021-12-06 13:16:24+00:00,6336,1939,1264
41,Se llevará a cabo una consulta con los pueblos para declarar 14 mil hectáreas —10 mil de zona federal y 4 mil de propiedad social— como Área Natural Protegida.,lopezobrador_,2021-12-06 00:02:28+00:00,5561,1567,276
42,"Se está rescatando el Lago de Texcoco para la conservación de la flora y la fauna, en especial de patos y aves migratorias.

https://t.co/dImgKpMXux https://t.co/wtgkbEShKg",lopezobrador_,2021-12-06 00:02:27+00:00,10930,3132,1078
43,"Se amplía a 8 carriles la autopista México-Pachuca. Se están construyendo otras vialidades y la vía de Lechería al aeropuerto Felipe Ángeles para llegar en tren desde el centro de la ciudad, estación Buenavista, hasta el nuevo aeropuerto en 45 minutos. https://t.co/Rh0z4CMvvc",lopezobrador_,2021-12-05 19:29:01+00:00,19062,5961,4225
44,"Estamos recuperando la Ermita, el manantial y áreas naturales y de recreación para el pueblo de Santa Fe, que fundó 'Tata' Vasco.

https://t.co/puDjqrhcUI https://t.co/mJ6xfipkf8",lopezobrador_,2021-12-05 00:01:38+00:00,6596,1919,486
45,"Avanzamos en la construcción del Tren Toluca-Ciudad de México. Estamos comprometidos, servidores públicos y empresas constructoras, a inaugurarlo en la primera quincena de septiembre de 2023. https://t.co/1z7QxBi6TO",lopezobrador_,2021-12-04 21:40:49+00:00,10287,2976,1023
46,"Conferencia de prensa, desde Santa María Rayón, Estado de México https://t.co/AduIDbd8Bw",lopezobrador_,2021-12-04 16:05:30+00:00,5076,1620,447
